Date,District,Domestic (MLD),Industrial (MLD),Agricultural (MLD)
14-01-2023,Pune,1042,870,1218
14-01-2023,Nagpur,1202,545,504
14-01-2023,Nashik,1273,600,924
14-01-2023,Mumbai,703,442,1334
14-01-2023,Aurangabad,873,1206,721
14-01-2023,Thane,1830,431,953
14-01-2023,Kolhapur,574,744,704
14-01-2023,Solapur,1684,923,914
15-01-2023,Pune,1892,535,1377
15-01-2023,Nagpur,1923,393,849
15-01-2023,Nashik,1074,705,648
15-01-2023,Mumbai,621,670,408
15-01-2023,Aurangabad,1849,357,765
15-01-2023,Thane,1088,1102,1154
15-01-2023,Kolhapur,1137,1487,1211
15-01-2023,Solapur,1043,1409,1269
16-01-2023,Pune,927,1462,718
16-01-2023,Nagpur,978,641,1404
16-01-2023,Nashik,1293,1120,690
16-01-2023,Mumbai,1957,1054,435
16-01-2023,Aurangabad,1233,863,1485
16-01-2023,Thane,956,598,1186
16-01-2023,Kolhapur,1709,1168,765
16-01-2023,Solapur,1495,1371,625
17-01-2023,Pune,1351,1329,512
17-01-2023,Nagpur,527,1498,840
17-01-2023,Nashik,1052,305,688
17-01-2023,Mumbai,1286,706,980
17-01-2023,Aurangabad,1581,1105,1094
17-01-2023,Thane,1022,649,1152
17-01-2023,Kolhapur,1012,623,630
17-01-2023,Solapur,672,1329,1289
18-01-2023,Pune,886,1277,844
18-01-2023,Nagpur,614,407,1208
18-01-2023,Nashik,1842,767,604
18-01-2023,Mumbai,844,1102,466
18-01-2023,Aurangabad,1186,729,1469
18-01-2023,Thane,1304,1119,1048
18-01-2023,Kolhapur,624,926,870
18-01-2023,Solapur,1620,334,1156
19-01-2023,Pune,1938,1172,674
19-01-2023,Nagpur,692,562,763
19-01-2023,Nashik,1878,437,825
19-01-2023,Mumbai,659,511,507
19-01-2023,Aurangabad,1630,1242,663
19-01-2023,Thane,1283,476,1234
19-01-2023,Kolhapur,1356,625,447
19-01-2023,Solapur,520,413,758
20-01-2023,Pune,1938,1374,703
20-01-2023,Nagpur,712,833,467
20-01-2023,Nashik,1633,370,999
20-01-2023,Mumbai,699,1404,1185
20-01-2023,Aurangabad,1899,1107,1225
20-01-2023,Thane,739,680,566
20-01-2023,Kolhapur,836,535,1053
20-01-2023,Solapur,1150,394,1140
21-01-2023,Pune,771,482,434
21-01-2023,Nagpur,1602,527,1327
21-01-2023,Nashik,572,892,1165
21-01-2023,Mumbai,1609,1350,442
21-01-2023,Aurangabad,803,400,699
21-01-2023,Thane,1934,468,741
21-01-2023,Kolhapur,1855,877,1097
21-01-2023,Solapur,1987,1059,566
22-01-2023,Pune,1945,1200,680
22-01-2023,Nagpur,956,1283,1244
22-01-2023,Nashik,1132,1394,779
22-01-2023,Mumbai,986,366,1057
22-01-2023,Aurangabad,1123,1177,415
22-01-2023,Thane,1340,612,1141
22-01-2023,Kolhapur,699,631,734
22-01-2023,Solapur,823,1028,1123
23-01-2023,Pune,772,1301,1330
23-01-2023,Nagpur,1686,1426,761
23-01-2023,Nashik,1038,1158,1196
23-01-2023,Mumbai,1916,695,1297
23-01-2023,Aurangabad,663,500,1008
23-01-2023,Thane,1338,322,1440
23-01-2023,Kolhapur,1689,1184,1021
23-01-2023,Solapur,1122,681,551
24-01-2023,Pune,958,1223,495
24-01-2023,Nagpur,1027,1240,1108
24-01-2023,Nashik,1470,325,1449
24-01-2023,Mumbai,1596,608,1069
24-01-2023,Aurangabad,1778,808,1249
24-01-2023,Thane,1380,1218,885
24-01-2023,Kolhapur,1723,620,549
24-01-2023,Solapur,1867,1362,1050
25-01-2023,Pune,636,786,1380
25-01-2023,Nagpur,832,1092,1057
25-01-2023,Nashik,623,1254,807
25-01-2023,Mumbai,525,961,1155
25-01-2023,Aurangabad,833,1020,416
25-01-2023,Thane,1304,1003,1036
25-01-2023,Kolhapur,1254,942,842
25-01-2023,Solapur,1124,376,406
26-01-2023,Pune,1303,587,704
26-01-2023,Nagpur,1628,588,762
26-01-2023,Nashik,763,995,1365
26-01-2023,Mumbai,1496,408,1021
26-01-2023,Aurangabad,684,701,1445
26-01-2023,Thane,1775,1370,1302
26-01-2023,Kolhapur,1623,596,961
26-01-2023,Solapur,1326,302,574
27-01-2023,Pune,1721,1445,425
27-01-2023,Nagpur,1425,826,946
27-01-2023,Nashik,1121,419,532
27-01-2023,Mumbai,828,742,1057
27-01-2023,Aurangabad,986,655,494
27-01-2023,Thane,1148,1164,1323
27-01-2023,Kolhapur,1380,1463,1330
27-01-2023,Solapur,1095,599,673
28-01-2023,Pune,1332,1195,811
28-01-2023,Nagpur,1228,994,1497
28-01-2023,Nashik,1751,1410,1087
28-01-2023,Mumbai,1635,329,1248
28-01-2023,Aurangabad,934,987,820
28-01-2023,Thane,1013,343,1390
28-01-2023,Kolhapur,758,1223,1467
28-01-2023,Solapur,1678,917,522
29-01-2023,Pune,1845,1311,869
29-01-2023,Nagpur,650,582,886
29-01-2023,Nashik,588,997,1033
29-01-2023,Mumbai,880,606,557
29-01-2023,Aurangabad,1822,910,1045
29-01-2023,Thane,1871,1322,1419
29-01-2023,Kolhapur,1349,828,795
29-01-2023,Solapur,1449,1012,683
30-01-2023,Pune,1744,648,425
30-01-2023,Nagpur,1335,431,1052
30-01-2023,Nashik,1394,788,1105
30-01-2023,Mumbai,1679,566,1238
30-01-2023,Aurangabad,568,1057,729
30-01-2023,Thane,647,1134,591
30-01-2023,Kolhapur,1365,1375,1140
30-01-2023,Solapur,1830,1257,470
31-01-2023,Pune,1846,1013,1013
31-01-2023,Nagpur,1930,457,602
31-01-2023,Nashik,1366,764,530
31-01-2023,Mumbai,1663,768,475
31-01-2023,Aurangabad,695,1164,781
31-01-2023,Thane,1213,954,457
31-01-2023,Kolhapur,951,809,751
31-01-2023,Solapur,1473,604,509
01-02-2023,Pune,1420,1017,940
01-02-2023,Nagpur,1604,1145,1495
01-02-2023,Nashik,751,1302,791
01-02-2023,Mumbai,1270,762,950
01-02-2023,Aurangabad,1350,947,1014
01-02-2023,Thane,990,1346,585
01-02-2023,Kolhapur,1640,1487,1231
01-02-2023,Solapur,837,1310,936
02-02-2023,Pune,1197,604,853
02-02-2023,Nagpur,682,1092,665
02-02-2023,Nashik,650,730,1172
02-02-2023,Mumbai,1683,1130,811
02-02-2023,Aurangabad,653,1145,1097
02-02-2023,Thane,549,694,844
02-02-2023,Kolhapur,1623,308,836
02-02-2023,Solapur,991,741,1183
03-02-2023,Pune,662,1288,606
03-02-2023,Nagpur,1165,961,1139
03-02-2023,Nashik,1288,1131,1440
03-02-2023,Mumbai,1227,1319,1223
03-02-2023,Aurangabad,1353,1322,1325
03-02-2023,Thane,541,761,1377
03-02-2023,Kolhapur,1834,1044,1476
03-02-2023,Solapur,1466,600,983
04-02-2023,Pune,841,475,629
04-02-2023,Nagpur,1628,1132,1069
04-02-2023,Nashik,1360,1226,781
04-02-2023,Mumbai,1102,682,1334
04-02-2023,Aurangabad,1436,1092,1084
04-02-2023,Thane,854,396,967
04-02-2023,Kolhapur,920,1411,913
04-02-2023,Solapur,503,849,1429
05-02-2023,Pune,500,1265,1188
05-02-2023,Nagpur,1561,935,883
05-02-2023,Nashik,1075,1197,764
05-02-2023,Mumbai,927,1271,518
05-02-2023,Aurangabad,1527,890,584
05-02-2023,Thane,1030,795,929
05-02-2023,Kolhapur,1160,759,876
05-02-2023,Solapur,504,490,462
06-02-2023,Pune,1800,843,1195
06-02-2023,Nagpur,1841,480,914
06-02-2023,Nashik,1482,744,1185
06-02-2023,Mumbai,884,1425,1343
06-02-2023,Aurangabad,1588,389,928
06-02-2023,Thane,1217,325,594
06-02-2023,Kolhapur,1166,717,950
06-02-2023,Solapur,1093,1370,967
07-02-2023,Pune,1842,1208,419
07-02-2023,Nagpur,690,330,560
07-02-2023,Nashik,974,1140,1248
07-02-2023,Mumbai,1084,1373,508
07-02-2023,Aurangabad,1554,1222,1240
07-02-2023,Thane,1863,1081,982
07-02-2023,Kolhapur,1531,957,1349
07-02-2023,Solapur,1632,549,1373
08-02-2023,Pune,595,643,1082
08-02-2023,Nagpur,972,1236,1003
08-02-2023,Nashik,1286,1496,523
08-02-2023,Mumbai,1482,698,1451
08-02-2023,Aurangabad,864,841,631
08-02-2023,Thane,1600,1345,553
08-02-2023,Kolhapur,1947,779,620
08-02-2023,Solapur,1312,437,1212
09-02-2023,Pune,765,979,729
09-02-2023,Nagpur,667,1082,1319
09-02-2023,Nashik,1206,1237,1182
09-02-2023,Mumbai,984,628,1070
09-02-2023,Aurangabad,1193,618,1387
09-02-2023,Thane,1092,602,1450
09-02-2023,Kolhapur,1909,957,1083
09-02-2023,Solapur,1954,638,1246
10-02-2023,Pune,1125,1211,858
10-02-2023,Nagpur,661,993,1032
10-02-2023,Nashik,1046,1450,1103
10-02-2023,Mumbai,1182,732,605
10-02-2023,Aurangabad,1332,1364,1097
10-02-2023,Thane,1164,447,710
10-02-2023,Kolhapur,1376,1374,1276
10-02-2023,Solapur,1746,512,1279
11-02-2023,Pune,1983,835,1068
11-02-2023,Nagpur,1808,1011,454
11-02-2023,Nashik,1038,493,493
11-02-2023,Mumbai,798,425,528
11-02-2023,Aurangabad,1969,1112,1387
11-02-2023,Thane,637,312,1005
11-02-2023,Kolhapur,1851,567,758
11-02-2023,Solapur,1791,1359,493
12-02-2023,Pune,1367,655,530
12-02-2023,Nagpur,1056,902,1390
12-02-2023,Nashik,1372,748,939
12-02-2023,Mumbai,639,468,1246
12-02-2023,Aurangabad,836,438,1275
12-02-2023,Thane,696,1370,426
12-02-2023,Kolhapur,812,1343,1296
12-02-2023,Solapur,1161,870,904
13-02-2023,Pune,1732,630,721
13-02-2023,Nagpur,586,1309,416
13-02-2023,Nashik,1003,476,1428
13-02-2023,Mumbai,1671,411,862
13-02-2023,Aurangabad,1011,1394,787
13-02-2023,Thane,1186,747,1258
13-02-2023,Kolhapur,616,1077,1149
13-02-2023,Solapur,1591,798,1451
14-02-2023,Pune,1266,439,1109
14-02-2023,Nagpur,1262,1496,987
14-02-2023,Nashik,1978,301,1458
14-02-2023,Mumbai,1099,383,897
14-02-2023,Aurangabad,586,1462,463
14-02-2023,Thane,581,1429,685
14-02-2023,Kolhapur,1530,1393,1317
14-02-2023,Solapur,1666,676,1209
15-02-2023,Pune,886,300,1120
15-02-2023,Nagpur,1002,1197,485
15-02-2023,Nashik,1849,1405,446
15-02-2023,Mumbai,1047,570,851
15-02-2023,Aurangabad,1628,1469,1476
15-02-2023,Thane,1838,1254,944
15-02-2023,Kolhapur,544,869,417
15-02-2023,Solapur,1073,1227,485
16-02-2023,Pune,1731,450,1311
16-02-2023,Nagpur,1340,1086,649
16-02-2023,Nashik,603,503,496
16-02-2023,Mumbai,841,1346,1116
16-02-2023,Aurangabad,1368,1135,459
16-02-2023,Thane,1926,1363,1396
16-02-2023,Kolhapur,959,306,615
16-02-2023,Solapur,502,407,1074
17-02-2023,Pune,1906,392,1443
17-02-2023,Nagpur,1105,627,1480
17-02-2023,Nashik,1815,379,1292
17-02-2023,Mumbai,1035,1082,1270
17-02-2023,Aurangabad,581,903,554
17-02-2023,Thane,769,994,452
17-02-2023,Kolhapur,1753,1347,1246
17-02-2023,Solapur,945,492,699
18-02-2023,Pune,1409,1098,1200
18-02-2023,Nagpur,1309,589,1160
18-02-2023,Nashik,1753,1442,565
18-02-2023,Mumbai,1789,1257,405
18-02-2023,Aurangabad,1986,1237,680
18-02-2023,Thane,591,753,1326
18-02-2023,Kolhapur,1126,909,1394
18-02-2023,Solapur,1555,386,905
19-02-2023,Pune,1497,1483,778
19-02-2023,Nagpur,1551,525,541
19-02-2023,Nashik,818,536,1021
19-02-2023,Mumbai,1694,1402,1333
19-02-2023,Aurangabad,1729,1076,1143
19-02-2023,Thane,1101,628,1025
19-02-2023,Kolhapur,558,1281,632
19-02-2023,Solapur,1082,944,564
20-02-2023,Pune,1582,490,1237
20-02-2023,Nagpur,981,418,886
20-02-2023,Nashik,1580,1181,616
20-02-2023,Mumbai,1309,605,556
20-02-2023,Aurangabad,1916,859,562
20-02-2023,Thane,1409,1368,1146
20-02-2023,Kolhapur,1784,618,485
20-02-2023,Solapur,1024,460,1483
21-02-2023,Pune,1844,1490,951
21-02-2023,Nagpur,554,944,1143
21-02-2023,Nashik,1216,313,569
21-02-2023,Mumbai,1399,1272,456
21-02-2023,Aurangabad,991,674,1071
21-02-2023,Thane,1871,1146,721
21-02-2023,Kolhapur,501,455,1319
21-02-2023,Solapur,700,1459,706
22-02-2023,Pune,751,371,1087
22-02-2023,Nagpur,1412,1229,969
22-02-2023,Nashik,1797,1314,617
22-02-2023,Mumbai,647,389,1005
22-02-2023,Aurangabad,769,445,1368
22-02-2023,Thane,1305,348,1001
22-02-2023,Kolhapur,947,1233,643
22-02-2023,Solapur,1109,594,957
23-02-2023,Pune,1014,1071,1136
23-02-2023,Nagpur,1466,1390,447
23-02-2023,Nashik,944,464,1217
23-02-2023,Mumbai,1853,1042,1404
23-02-2023,Aurangabad,815,536,449
23-02-2023,Thane,1451,867,1079
23-02-2023,Kolhapur,1532,984,1236
23-02-2023,Solapur,1598,1045,417
24-02-2023,Pune,1084,1194,1247
24-02-2023,Nagpur,850,1454,872
24-02-2023,Nashik,558,321,1285
24-02-2023,Mumbai,1585,331,631
24-02-2023,Aurangabad,1793,1199,939
24-02-2023,Thane,1205,677,538
24-02-2023,Kolhapur,1751,758,859
24-02-2023,Solapur,930,1302,826
25-02-2023,Pune,1039,666,1099
25-02-2023,Nagpur,1069,1302,1433
25-02-2023,Nashik,866,977,1004
25-02-2023,Mumbai,1016,827,1304
25-02-2023,Aurangabad,1499,896,1268
25-02-2023,Thane,1270,1453,1448
25-02-2023,Kolhapur,1836,799,736
25-02-2023,Solapur,992,380,802
26-02-2023,Pune,1147,1216,795
26-02-2023,Nagpur,1641,1402,1244
26-02-2023,Nashik,597,535,966
26-02-2023,Mumbai,910,1201,1158
26-02-2023,Aurangabad,1200,1222,618
26-02-2023,Thane,1622,1460,754
26-02-2023,Kolhapur,1817,599,929
26-02-2023,Solapur,1173,355,752
27-02-2023,Pune,518,1315,1052
27-02-2023,Nagpur,1450,591,406
27-02-2023,Nashik,1384,1309,883
27-02-2023,Mumbai,760,608,517
27-02-2023,Aurangabad,573,645,1371
27-02-2023,Thane,1484,862,1103
27-02-2023,Kolhapur,1285,1378,840
27-02-2023,Solapur,1448,1340,995
28-02-2023,Pune,654,1427,744
28-02-2023,Nagpur,1411,351,1121
28-02-2023,Nashik,631,1152,741
28-02-2023,Mumbai,975,972,581
28-02-2023,Aurangabad,578,1494,1342
28-02-2023,Thane,1116,780,661
28-02-2023,Kolhapur,1790,1146,839
28-02-2023,Solapur,1011,838,795
01-03-2023,Pune,510,1248,1372
01-03-2023,Nagpur,1711,364,1251
01-03-2023,Nashik,1348,495,1254
01-03-2023,Mumbai,739,954,908
01-03-2023,Aurangabad,654,1037,521
01-03-2023,Thane,1645,788,973
01-03-2023,Kolhapur,815,436,708
01-03-2023,Solapur,968,364,972
02-03-2023,Pune,1310,599,1488
02-03-2023,Nagpur,1750,791,508
02-03-2023,Nashik,1282,789,1134
02-03-2023,Mumbai,1693,840,1293
02-03-2023,Aurangabad,832,1400,712
02-03-2023,Thane,1103,1293,1320
02-03-2023,Kolhapur,1157,522,1165
02-03-2023,Solapur,1946,1055,695
03-03-2023,Pune,1494,955,1072
03-03-2023,Nagpur,524,593,1439
03-03-2023,Nashik,601,1031,1263
03-03-2023,Mumbai,1420,625,681
03-03-2023,Aurangabad,681,512,1036
03-03-2023,Thane,1992,1046,796
03-03-2023,Kolhapur,713,1307,956
03-03-2023,Solapur,905,689,492
04-03-2023,Pune,1423,784,811
04-03-2023,Nagpur,906,915,906
04-03-2023,Nashik,806,1215,1305
04-03-2023,Mumbai,939,490,560
04-03-2023,Aurangabad,814,651,1023
04-03-2023,Thane,1334,414,618
04-03-2023,Kolhapur,881,1292,404
04-03-2023,Solapur,864,375,653
05-03-2023,Pune,650,1219,818
05-03-2023,Nagpur,1913,487,818
05-03-2023,Nashik,1809,633,604
05-03-2023,Mumbai,703,1174,1342
05-03-2023,Aurangabad,1366,844,1325
05-03-2023,Thane,1344,1466,999
05-03-2023,Kolhapur,1852,778,1271
05-03-2023,Solapur,1946,1243,1082
06-03-2023,Pune,1133,982,784
06-03-2023,Nagpur,1457,884,401
06-03-2023,Nashik,1947,1472,548
06-03-2023,Mumbai,1509,1248,897
06-03-2023,Aurangabad,1173,908,1125
06-03-2023,Thane,848,1082,671
06-03-2023,Kolhapur,1555,1177,1024
06-03-2023,Solapur,1766,769,1099
07-03-2023,Pune,519,607,698
07-03-2023,Nagpur,1129,408,1152
07-03-2023,Nashik,1229,869,934
07-03-2023,Mumbai,1647,1021,1418
07-03-2023,Aurangabad,1626,1248,596
07-03-2023,Thane,686,1047,1331
07-03-2023,Kolhapur,1793,574,949
07-03-2023,Solapur,1535,1340,502
08-03-2023,Pune,682,684,1480
08-03-2023,Nagpur,845,1217,726
08-03-2023,Nashik,556,913,883
08-03-2023,Mumbai,1030,915,867
08-03-2023,Aurangabad,557,702,1287
08-03-2023,Thane,1456,1149,826
08-03-2023,Kolhapur,1321,477,1201
08-03-2023,Solapur,1478,1303,750
09-03-2023,Pune,904,914,1157
09-03-2023,Nagpur,764,387,492
09-03-2023,Nashik,1889,1001,892
09-03-2023,Mumbai,1924,1106,1357
09-03-2023,Aurangabad,1766,1155,919
09-03-2023,Thane,982,451,589
09-03-2023,Kolhapur,835,550,1219
09-03-2023,Solapur,826,537,555
10-03-2023,Pune,704,397,601
10-03-2023,Nagpur,1938,1378,1452
10-03-2023,Nashik,561,638,942
10-03-2023,Mumbai,726,1327,1173
10-03-2023,Aurangabad,1649,1327,628
10-03-2023,Thane,1318,1001,1469
10-03-2023,Kolhapur,699,396,430
10-03-2023,Solapur,1741,1446,771
11-03-2023,Pune,925,510,426
11-03-2023,Nagpur,1287,573,1116
11-03-2023,Nashik,1096,959,762
11-03-2023,Mumbai,553,612,411
11-03-2023,Aurangabad,532,1371,1244
11-03-2023,Thane,1213,1063,1100
11-03-2023,Kolhapur,1520,455,1463
11-03-2023,Solapur,1858,796,896
12-03-2023,Pune,1902,1323,1151
12-03-2023,Nagpur,781,1300,684
12-03-2023,Nashik,1554,1233,810
12-03-2023,Mumbai,1806,611,979
12-03-2023,Aurangabad,942,1300,1324
12-03-2023,Thane,1640,493,648
12-03-2023,Kolhapur,520,1302,823
12-03-2023,Solapur,1933,751,544
13-03-2023,Pune,750,373,1355
13-03-2023,Nagpur,1199,363,473
13-03-2023,Nashik,1484,1421,565
13-03-2023,Mumbai,924,1366,502
13-03-2023,Aurangabad,572,1110,1010
13-03-2023,Thane,1969,920,1131
13-03-2023,Kolhapur,1968,471,1087
13-03-2023,Solapur,1563,926,654
14-03-2023,Pune,965,651,1297
14-03-2023,Nagpur,1667,729,1205
14-03-2023,Nashik,864,368,466
14-03-2023,Mumbai,1638,1146,1212
14-03-2023,Aurangabad,1186,717,943
14-03-2023,Thane,587,1119,471
14-03-2023,Kolhapur,1045,969,1181
14-03-2023,Solapur,506,1000,1318
15-03-2023,Pune,1371,720,754
15-03-2023,Nagpur,1960,1008,994
15-03-2023,Nashik,1089,1435,1429
15-03-2023,Mumbai,913,1313,1434
15-03-2023,Aurangabad,935,542,649
15-03-2023,Thane,1247,460,1447
15-03-2023,Kolhapur,1230,1456,947
15-03-2023,Solapur,1412,336,464
16-03-2023,Pune,1277,813,655
16-03-2023,Nagpur,1406,747,506
16-03-2023,Nashik,1720,600,1083
16-03-2023,Mumbai,907,1175,405
16-03-2023,Aurangabad,1024,1025,511
16-03-2023,Thane,1437,1326,1167
16-03-2023,Kolhapur,1096,1204,721
16-03-2023,Solapur,1630,365,572
17-03-2023,Pune,1735,312,1281
17-03-2023,Nagpur,1558,659,1308
17-03-2023,Nashik,1332,428,1278
17-03-2023,Mumbai,1772,517,904
17-03-2023,Aurangabad,1309,541,1011
17-03-2023,Thane,1456,1480,985
17-03-2023,Kolhapur,1242,344,1396
17-03-2023,Solapur,1816,620,1006
18-03-2023,Pune,1220,679,539
18-03-2023,Nagpur,1838,576,951
18-03-2023,Nashik,962,601,459
18-03-2023,Mumbai,1349,1039,832
18-03-2023,Aurangabad,848,905,1164
18-03-2023,Thane,1885,547,688
18-03-2023,Kolhapur,1635,1432,462
18-03-2023,Solapur,643,470,612
19-03-2023,Pune,1378,939,643
19-03-2023,Nagpur,1575,1377,688
19-03-2023,Nashik,1823,1091,708
19-03-2023,Mumbai,1129,1323,1463
19-03-2023,Aurangabad,1140,404,528
19-03-2023,Thane,589,1458,516
19-03-2023,Kolhapur,1464,833,1280
19-03-2023,Solapur,1284,790,799
20-03-2023,Pune,874,319,1334
20-03-2023,Nagpur,1139,460,1450
20-03-2023,Nashik,1446,648,888
20-03-2023,Mumbai,1539,1135,578
20-03-2023,Aurangabad,624,855,1217
20-03-2023,Thane,1544,745,1193
20-03-2023,Kolhapur,937,1446,497
20-03-2023,Solapur,1120,1102,1482
21-03-2023,Pune,766,411,1257
21-03-2023,Nagpur,1518,1169,1459
21-03-2023,Nashik,578,501,715
21-03-2023,Mumbai,1499,377,1179
21-03-2023,Aurangabad,697,773,715
21-03-2023,Thane,627,1182,1159
21-03-2023,Kolhapur,628,1290,1004
21-03-2023,Solapur,598,1157,852
22-03-2023,Pune,1220,1068,667
22-03-2023,Nagpur,1914,1083,450
22-03-2023,Nashik,805,1247,610
22-03-2023,Mumbai,895,372,1049
22-03-2023,Aurangabad,916,1234,1368
22-03-2023,Thane,1547,987,447
22-03-2023,Kolhapur,859,478,745
22-03-2023,Solapur,1542,766,1412
23-03-2023,Pune,629,1224,722
23-03-2023,Nagpur,714,1434,963
23-03-2023,Nashik,880,346,992
23-03-2023,Mumbai,577,470,847
23-03-2023,Aurangabad,654,719,867
23-03-2023,Thane,895,633,1076
23-03-2023,Kolhapur,642,571,696
23-03-2023,Solapur,651,1290,1471
24-03-2023,Pune,1436,1172,583
24-03-2023,Nagpur,1715,1229,591
24-03-2023,Nashik,1317,696,444
24-03-2023,Mumbai,1132,1465,1214
24-03-2023,Aurangabad,1631,691,682
24-03-2023,Thane,1308,603,909
24-03-2023,Kolhapur,1536,1342,833
24-03-2023,Solapur,585,635,1262
25-03-2023,Pune,947,462,1418
25-03-2023,Nagpur,1833,1343,1301
25-03-2023,Nashik,1028,1183,512
25-03-2023,Mumbai,1830,681,812
25-03-2023,Aurangabad,1486,993,718
25-03-2023,Thane,1441,363,1125
25-03-2023,Kolhapur,1280,1215,701
25-03-2023,Solapur,1685,982,1026
26-03-2023,Pune,1366,924,1464
26-03-2023,Nagpur,1870,1241,1317
26-03-2023,Nashik,1666,1263,517
26-03-2023,Mumbai,1172,1349,794
26-03-2023,Aurangabad,1948,726,953
26-03-2023,Thane,1577,866,428
26-03-2023,Kolhapur,1523,753,852
26-03-2023,Solapur,511,1462,1485
27-03-2023,Pune,526,777,1191
27-03-2023,Nagpur,567,407,1037
27-03-2023,Nashik,556,510,1120
27-03-2023,Mumbai,1329,1422,999
27-03-2023,Aurangabad,1343,986,1140
27-03-2023,Thane,1215,591,847
27-03-2023,Kolhapur,611,375,898
27-03-2023,Solapur,1207,761,1185
28-03-2023,Pune,1338,1197,864
28-03-2023,Nagpur,1456,1376,770
28-03-2023,Nashik,1742,433,604
28-03-2023,Mumbai,880,1027,1436
28-03-2023,Aurangabad,1687,858,865
28-03-2023,Thane,605,326,1045
28-03-2023,Kolhapur,962,1362,428
