Date,Reservoir Name,District,Inflow (MLD),Outflow (MLD),Storage Capacity (MLD),Current Level (MLD)
02-02-2023,Koyna Dam,Satara,1288,2414,206121,123846
02-02-2023,Bhatsa Dam,Thane,1620,1285,267662,133325
02-02-2023,Ujjani Dam,Solapur,1848,1831,171754,169750
02-02-2023,Jayakwadi Dam,Aurangabad,2410,2039,235516,102130
03-02-2023,Koyna Dam,Satara,2648,1983,264938,175784
03-02-2023,Bhatsa Dam,Thane,1371,1913,280860,272760
03-02-2023,Ujjani Dam,Solapur,2590,1033,218099,199298
03-02-2023,Jayakwadi Dam,Aurangabad,1947,2356,207473,200538
04-02-2023,Koyna Dam,Satara,1967,1718,180988,173959
04-02-2023,Bhatsa Dam,Thane,1003,1613,240729,134667
04-02-2023,Ujjani Dam,Solapur,2679,1831,154727,152573
04-02-2023,Jayakwadi Dam,Aurangabad,1319,1577,187770,163773
05-02-2023,Koyna Dam,Satara,2930,1881,157189,134063
05-02-2023,Bhatsa Dam,Thane,2302,1507,258070,169704
05-02-2023,Ujjani Dam,Solapur,2575,2207,295292,244347
05-02-2023,Jayakwadi Dam,Aurangabad,1991,1321,236907,113639
06-02-2023,Koyna Dam,Satara,1656,1575,248709,118993
06-02-2023,Bhatsa Dam,Thane,1955,1697,274834,251680
06-02-2023,Ujjani Dam,Solapur,2202,1198,197312,105417
06-02-2023,Jayakwadi Dam,Aurangabad,2562,1208,187672,107807
07-02-2023,Koyna Dam,Satara,2055,1031,248562,177492
07-02-2023,Bhatsa Dam,Thane,1545,1266,179344,125214
07-02-2023,Ujjani Dam,Solapur,2608,1743,179272,100456
07-02-2023,Jayakwadi Dam,Aurangabad,1964,1595,219237,181300
08-02-2023,Koyna Dam,Satara,2382,1489,203229,101493
08-02-2023,Bhatsa Dam,Thane,2816,2278,187507,184255
08-02-2023,Ujjani Dam,Solapur,2179,1159,293691,142314
08-02-2023,Jayakwadi Dam,Aurangabad,1881,1922,284878,200322
09-02-2023,Koyna Dam,Satara,2615,1173,190524,101496
09-02-2023,Bhatsa Dam,Thane,1190,1238,223815,191894
09-02-2023,Ujjani Dam,Solapur,2218,1568,285329,200816
09-02-2023,Jayakwadi Dam,Aurangabad,2611,1634,178128,114164
10-02-2023,Koyna Dam,Satara,2611,1406,236710,143971
10-02-2023,Bhatsa Dam,Thane,2277,1593,284596,190571
10-02-2023,Ujjani Dam,Solapur,2564,1336,161529,159380
10-02-2023,Jayakwadi Dam,Aurangabad,1757,1562,295080,224587
11-02-2023,Koyna Dam,Satara,2639,1782,176945,129505
11-02-2023,Bhatsa Dam,Thane,2261,1762,253561,142990
11-02-2023,Ujjani Dam,Solapur,1738,1087,284946,110508
11-02-2023,Jayakwadi Dam,Aurangabad,2865,1641,262236,175594
12-02-2023,Koyna Dam,Satara,2191,2451,249601,198384
12-02-2023,Bhatsa Dam,Thane,1902,1884,220741,206133
12-02-2023,Ujjani Dam,Solapur,1501,2289,279914,171036
12-02-2023,Jayakwadi Dam,Aurangabad,1103,2392,276968,274592
13-02-2023,Koyna Dam,Satara,2048,1004,201533,171190
13-02-2023,Bhatsa Dam,Thane,1606,1784,151311,131149
13-02-2023,Ujjani Dam,Solapur,1469,1768,276605,193906
13-02-2023,Jayakwadi Dam,Aurangabad,2275,1074,295837,115984
14-02-2023,Koyna Dam,Satara,1659,1798,234375,140174
14-02-2023,Bhatsa Dam,Thane,2204,1110,275150,251453
14-02-2023,Ujjani Dam,Solapur,2893,1264,180915,101904
14-02-2023,Jayakwadi Dam,Aurangabad,1458,1529,281318,192071
15-02-2023,Koyna Dam,Satara,1671,1121,266489,161783
15-02-2023,Bhatsa Dam,Thane,2253,1661,215543,135736
15-02-2023,Ujjani Dam,Solapur,1136,2226,164857,159094
15-02-2023,Jayakwadi Dam,Aurangabad,1888,1027,297522,159120
16-02-2023,Koyna Dam,Satara,1438,1936,260062,221129
16-02-2023,Bhatsa Dam,Thane,2585,2328,245807,119987
16-02-2023,Ujjani Dam,Solapur,2939,1979,160545,109233
16-02-2023,Jayakwadi Dam,Aurangabad,2096,1855,221151,176981
17-02-2023,Koyna Dam,Satara,1859,1300,212217,171686
17-02-2023,Bhatsa Dam,Thane,2660,2074,245697,103400
17-02-2023,Ujjani Dam,Solapur,1244,2394,291942,147223
17-02-2023,Jayakwadi Dam,Aurangabad,2115,1852,288462,283503
18-02-2023,Koyna Dam,Satara,2320,2238,171156,135563
18-02-2023,Bhatsa Dam,Thane,2377,2206,173709,114088
18-02-2023,Ujjani Dam,Solapur,2211,1865,201255,169432
18-02-2023,Jayakwadi Dam,Aurangabad,2354,1875,241637,224857
19-02-2023,Koyna Dam,Satara,2460,2029,165384,137218
19-02-2023,Bhatsa Dam,Thane,2806,1401,278576,196191
19-02-2023,Ujjani Dam,Solapur,2681,2008,201873,189536
19-02-2023,Jayakwadi Dam,Aurangabad,1924,1245,240069,183433
20-02-2023,Koyna Dam,Satara,1798,1472,245235,156901
20-02-2023,Bhatsa Dam,Thane,2093,2103,184466,168866
20-02-2023,Ujjani Dam,Solapur,1573,1530,294435,214073
20-02-2023,Jayakwadi Dam,Aurangabad,2984,1484,211738,156741
21-02-2023,Koyna Dam,Satara,2149,1182,182843,111190
21-02-2023,Bhatsa Dam,Thane,2734,1422,260233,161394
21-02-2023,Ujjani Dam,Solapur,2468,1121,184828,108435
21-02-2023,Jayakwadi Dam,Aurangabad,2986,1516,243234,140757
22-02-2023,Koyna Dam,Satara,2261,2127,202370,150800
22-02-2023,Bhatsa Dam,Thane,1629,1918,219891,138726
22-02-2023,Ujjani Dam,Solapur,2146,2258,173028,136426
22-02-2023,Jayakwadi Dam,Aurangabad,2055,2044,208449,151709
23-02-2023,Koyna Dam,Satara,2102,1169,183840,129400
23-02-2023,Bhatsa Dam,Thane,1616,1749,258731,113068
23-02-2023,Ujjani Dam,Solapur,1692,1496,270321,163355
23-02-2023,Jayakwadi Dam,Aurangabad,1766,1759,228349,203796
24-02-2023,Koyna Dam,Satara,2857,1916,217726,157391
24-02-2023,Bhatsa Dam,Thane,2992,1229,207686,181494
24-02-2023,Ujjani Dam,Solapur,1396,1137,157533,116257
24-02-2023,Jayakwadi Dam,Aurangabad,1867,1981,215793,102192
25-02-2023,Koyna Dam,Satara,2570,1560,241821,177193
25-02-2023,Bhatsa Dam,Thane,1535,2242,248773,243467
25-02-2023,Ujjani Dam,Solapur,1851,1459,289657,106184
25-02-2023,Jayakwadi Dam,Aurangabad,1653,1162,173742,116234
26-02-2023,Koyna Dam,Satara,2267,1517,221182,218149
26-02-2023,Bhatsa Dam,Thane,2319,2230,261758,206006
26-02-2023,Ujjani Dam,Solapur,1856,1184,285761,232401
26-02-2023,Jayakwadi Dam,Aurangabad,1455,1888,254770,116293
27-02-2023,Koyna Dam,Satara,1657,1066,285322,180121
27-02-2023,Bhatsa Dam,Thane,2320,2389,289672,102342
27-02-2023,Ujjani Dam,Solapur,1701,1349,157709,131888
27-02-2023,Jayakwadi Dam,Aurangabad,2273,2464,165575,131502
28-02-2023,Koyna Dam,Satara,1761,2401,199411,109557
28-02-2023,Bhatsa Dam,Thane,2491,1673,205090,119751
28-02-2023,Ujjani Dam,Solapur,2891,1402,270796,205937
28-02-2023,Jayakwadi Dam,Aurangabad,1128,2099,215391,142802
01-03-2023,Koyna Dam,Satara,2366,1580,257521,223455
01-03-2023,Bhatsa Dam,Thane,2874,2070,155764,107481
01-03-2023,Ujjani Dam,Solapur,1004,2231,178265,128866
01-03-2023,Jayakwadi Dam,Aurangabad,2256,1415,186714,180030
02-03-2023,Koyna Dam,Satara,2827,1726,240064,173263
02-03-2023,Bhatsa Dam,Thane,1955,2195,180695,123180
02-03-2023,Ujjani Dam,Solapur,2416,1775,204166,113031
02-03-2023,Jayakwadi Dam,Aurangabad,1144,1600,188084,128907
03-03-2023,Koyna Dam,Satara,2784,1452,237955,123107
03-03-2023,Bhatsa Dam,Thane,2033,1960,235504,186972
03-03-2023,Ujjani Dam,Solapur,1079,2281,218869,185835
03-03-2023,Jayakwadi Dam,Aurangabad,1135,1993,226066,201286
04-03-2023,Koyna Dam,Satara,2163,1882,238545,148676
04-03-2023,Bhatsa Dam,Thane,2417,1468,292086,274672
04-03-2023,Ujjani Dam,Solapur,1534,1801,176145,139934
04-03-2023,Jayakwadi Dam,Aurangabad,1816,1999,268744,178530
05-03-2023,Koyna Dam,Satara,2119,2067,192727,163215
05-03-2023,Bhatsa Dam,Thane,1616,1792,182710,115114
05-03-2023,Ujjani Dam,Solapur,2203,1477,195692,104222
05-03-2023,Jayakwadi Dam,Aurangabad,2425,2345,240034,185237
06-03-2023,Koyna Dam,Satara,1358,1643,271870,154826
06-03-2023,Bhatsa Dam,Thane,1028,1319,262912,216257
06-03-2023,Ujjani Dam,Solapur,1126,2219,269417,205784
06-03-2023,Jayakwadi Dam,Aurangabad,2986,1275,285851,271938
07-03-2023,Koyna Dam,Satara,2106,1498,175051,132814
07-03-2023,Bhatsa Dam,Thane,1172,1170,155353,107102
07-03-2023,Ujjani Dam,Solapur,2389,2177,202034,185449
07-03-2023,Jayakwadi Dam,Aurangabad,2601,2019,163878,100128
08-03-2023,Koyna Dam,Satara,1312,1194,222400,147708
08-03-2023,Bhatsa Dam,Thane,2112,1356,290792,112898
08-03-2023,Ujjani Dam,Solapur,2208,1926,174457,140938
08-03-2023,Jayakwadi Dam,Aurangabad,1233,2328,271192,240046
09-03-2023,Koyna Dam,Satara,2394,1706,183625,134684
09-03-2023,Bhatsa Dam,Thane,2022,2115,228979,211717
09-03-2023,Ujjani Dam,Solapur,1975,1318,194068,112574
09-03-2023,Jayakwadi Dam,Aurangabad,2428,1289,187671,142083
10-03-2023,Koyna Dam,Satara,1872,1879,287299,133778
10-03-2023,Bhatsa Dam,Thane,1933,1866,217447,198202
10-03-2023,Ujjani Dam,Solapur,1333,2398,182467,102238
10-03-2023,Jayakwadi Dam,Aurangabad,2253,1100,187860,134169
11-03-2023,Koyna Dam,Satara,2593,1446,281735,218719
11-03-2023,Bhatsa Dam,Thane,2081,1358,180722,158980
11-03-2023,Ujjani Dam,Solapur,1988,1306,243894,111862
11-03-2023,Jayakwadi Dam,Aurangabad,2553,1039,253230,233266
12-03-2023,Koyna Dam,Satara,1849,1711,273504,228308
12-03-2023,Bhatsa Dam,Thane,1311,2198,162785,162100
12-03-2023,Ujjani Dam,Solapur,2840,1501,283839,210519
12-03-2023,Jayakwadi Dam,Aurangabad,2975,1932,274115,270307
13-03-2023,Koyna Dam,Satara,1479,1794,171994,149233
13-03-2023,Bhatsa Dam,Thane,2054,2420,295923,208636
13-03-2023,Ujjani Dam,Solapur,1764,1080,208350,154120
13-03-2023,Jayakwadi Dam,Aurangabad,2920,2001,255868,212871
14-03-2023,Koyna Dam,Satara,1401,2298,238961,179285
14-03-2023,Bhatsa Dam,Thane,1897,1950,232596,194695
14-03-2023,Ujjani Dam,Solapur,2955,2027,156278,108452
14-03-2023,Jayakwadi Dam,Aurangabad,2717,1398,266167,252238
15-03-2023,Koyna Dam,Satara,2449,1145,268438,186544
15-03-2023,Bhatsa Dam,Thane,1084,1498,296768,245147
15-03-2023,Ujjani Dam,Solapur,2528,1390,198102,150862
15-03-2023,Jayakwadi Dam,Aurangabad,1533,1493,267507,113945
16-03-2023,Koyna Dam,Satara,1934,2312,185260,174430
16-03-2023,Bhatsa Dam,Thane,2464,1180,169018,120834
16-03-2023,Ujjani Dam,Solapur,1044,2322,195782,188761
16-03-2023,Jayakwadi Dam,Aurangabad,2489,1903,155231,120159
17-03-2023,Koyna Dam,Satara,2238,1711,275667,212731
17-03-2023,Bhatsa Dam,Thane,2335,1362,225111,201791
17-03-2023,Ujjani Dam,Solapur,2926,1384,257583,252152
17-03-2023,Jayakwadi Dam,Aurangabad,2012,2015,167695,146048
18-03-2023,Koyna Dam,Satara,1858,2493,269479,223508
18-03-2023,Bhatsa Dam,Thane,2741,1474,256421,177703
18-03-2023,Ujjani Dam,Solapur,1087,2047,249254,156146
18-03-2023,Jayakwadi Dam,Aurangabad,1954,2216,275269,204831
19-03-2023,Koyna Dam,Satara,2182,2078,222474,203133
19-03-2023,Bhatsa Dam,Thane,2296,1656,218912,207064
19-03-2023,Ujjani Dam,Solapur,2097,2239,155855,127049
19-03-2023,Jayakwadi Dam,Aurangabad,2544,1918,286490,156463
20-03-2023,Koyna Dam,Satara,2518,1406,183374,158325
20-03-2023,Bhatsa Dam,Thane,2655,1063,183554,180330
20-03-2023,Ujjani Dam,Solapur,1857,2185,150137,145047
20-03-2023,Jayakwadi Dam,Aurangabad,2323,2304,226666,218513
21-03-2023,Koyna Dam,Satara,2163,2069,198636,156715
21-03-2023,Bhatsa Dam,Thane,1473,1515,176011,108273
21-03-2023,Ujjani Dam,Solapur,1701,2451,247273,163196
21-03-2023,Jayakwadi Dam,Aurangabad,1046,2430,274590,210248
22-03-2023,Koyna Dam,Satara,1408,1034,165421,124167
22-03-2023,Bhatsa Dam,Thane,2251,1847,270921,244581
22-03-2023,Ujjani Dam,Solapur,1052,1155,168261,130271
22-03-2023,Jayakwadi Dam,Aurangabad,1567,1963,224677,183470
23-03-2023,Koyna Dam,Satara,2475,1436,225290,211220
23-03-2023,Bhatsa Dam,Thane,1575,1218,224719,135121
23-03-2023,Ujjani Dam,Solapur,2946,1719,168903,146310
23-03-2023,Jayakwadi Dam,Aurangabad,1691,2164,274478,210516
24-03-2023,Koyna Dam,Satara,2136,2464,289766,171645
24-03-2023,Bhatsa Dam,Thane,2563,2313,277198,269114
24-03-2023,Ujjani Dam,Solapur,2304,2353,246264,172706
24-03-2023,Jayakwadi Dam,Aurangabad,1775,1955,232838,213929
25-03-2023,Koyna Dam,Satara,1182,2017,251247,105190
25-03-2023,Bhatsa Dam,Thane,2441,1777,286694,278678
25-03-2023,Ujjani Dam,Solapur,2054,2025,296492,266620
25-03-2023,Jayakwadi Dam,Aurangabad,1262,1752,265166,104797
26-03-2023,Koyna Dam,Satara,1380,2200,295498,221793
26-03-2023,Bhatsa Dam,Thane,1271,2256,215580,200168
26-03-2023,Ujjani Dam,Solapur,1064,2282,183695,152945
26-03-2023,Jayakwadi Dam,Aurangabad,1493,1063,293107,140218
27-03-2023,Koyna Dam,Satara,2550,1433,179435,142051
27-03-2023,Bhatsa Dam,Thane,1019,1629,283848,257573
27-03-2023,Ujjani Dam,Solapur,1457,1568,291207,273742
27-03-2023,Jayakwadi Dam,Aurangabad,2338,1561,200359,197005
28-03-2023,Koyna Dam,Satara,1940,2016,295741,112642
28-03-2023,Bhatsa Dam,Thane,2686,2207,271961,180264
28-03-2023,Ujjani Dam,Solapur,2502,1417,225373,149023
28-03-2023,Jayakwadi Dam,Aurangabad,1161,1035,245426,164044
29-03-2023,Koyna Dam,Satara,2281,1545,165872,144795
29-03-2023,Bhatsa Dam,Thane,1227,2254,297718,248196
29-03-2023,Ujjani Dam,Solapur,1722,2237,254846,118761
29-03-2023,Jayakwadi Dam,Aurangabad,1018,1477,180745,165179
30-03-2023,Koyna Dam,Satara,2674,1120,224560,140189
30-03-2023,Bhatsa Dam,Thane,2270,2191,162331,140447
30-03-2023,Ujjani Dam,Solapur,1696,1652,291551,249579
30-03-2023,Jayakwadi Dam,Aurangabad,2174,1902,236899,131141
31-03-2023,Koyna Dam,Satara,2959,2374,210123,202620
31-03-2023,Bhatsa Dam,Thane,1533,2472,215672,202334
31-03-2023,Ujjani Dam,Solapur,2517,1061,249972,201721
31-03-2023,Jayakwadi Dam,Aurangabad,2750,1479,219711,111881
01-04-2023,Koyna Dam,Satara,2733,2266,215964,211378
01-04-2023,Bhatsa Dam,Thane,2528,1143,249181,201645
01-04-2023,Ujjani Dam,Solapur,1234,1855,234164,173130
01-04-2023,Jayakwadi Dam,Aurangabad,2747,2199,293276,164242
02-04-2023,Koyna Dam,Satara,2594,1085,224593,188826
02-04-2023,Bhatsa Dam,Thane,2388,2243,228790,156748
02-04-2023,Ujjani Dam,Solapur,2967,2158,217216,111330
02-04-2023,Jayakwadi Dam,Aurangabad,2553,2368,213355,130451
03-04-2023,Koyna Dam,Satara,2162,1294,154295,137081
03-04-2023,Bhatsa Dam,Thane,1525,1574,213408,180003
03-04-2023,Ujjani Dam,Solapur,2549,1444,161941,139936
03-04-2023,Jayakwadi Dam,Aurangabad,2460,1761,150811,128490
04-04-2023,Koyna Dam,Satara,2604,1446,239959,102801
04-04-2023,Bhatsa Dam,Thane,2628,2057,249041,107867
04-04-2023,Ujjani Dam,Solapur,2041,1709,186208,183893
04-04-2023,Jayakwadi Dam,Aurangabad,1906,1036,249125,245317
05-04-2023,Koyna Dam,Satara,2067,1212,259389,217511
05-04-2023,Bhatsa Dam,Thane,2898,1617,251711,131029
05-04-2023,Ujjani Dam,Solapur,2543,1359,228539,157891
05-04-2023,Jayakwadi Dam,Aurangabad,1187,1109,246702,176346
06-04-2023,Koyna Dam,Satara,1379,1274,284517,194825
06-04-2023,Bhatsa Dam,Thane,1425,1501,207123,181867
06-04-2023,Ujjani Dam,Solapur,1393,1194,250438,149978
06-04-2023,Jayakwadi Dam,Aurangabad,1446,2431,173759,103262
07-04-2023,Koyna Dam,Satara,2455,1934,298890,101470
07-04-2023,Bhatsa Dam,Thane,1710,2398,157453,146148
07-04-2023,Ujjani Dam,Solapur,1030,1306,269716,239209
07-04-2023,Jayakwadi Dam,Aurangabad,1255,1867,279832,153185
08-04-2023,Koyna Dam,Satara,2990,1485,265455,210903
08-04-2023,Bhatsa Dam,Thane,2307,1307,259005,180285
08-04-2023,Ujjani Dam,Solapur,1856,2081,172080,153915
08-04-2023,Jayakwadi Dam,Aurangabad,2510,2174,254200,132812
09-04-2023,Koyna Dam,Satara,2131,2334,240307,114248
09-04-2023,Bhatsa Dam,Thane,2679,1784,294416,129612
09-04-2023,Ujjani Dam,Solapur,1357,2434,209089,157621
09-04-2023,Jayakwadi Dam,Aurangabad,1301,1302,228529,156524
10-04-2023,Koyna Dam,Satara,2437,1912,212284,125766
10-04-2023,Bhatsa Dam,Thane,2815,1104,166770,121871
10-04-2023,Ujjani Dam,Solapur,1781,2426,150859,107441
10-04-2023,Jayakwadi Dam,Aurangabad,2336,1793,214085,151171
11-04-2023,Koyna Dam,Satara,1040,2213,159307,157953
11-04-2023,Bhatsa Dam,Thane,2670,1398,150287,149693
11-04-2023,Ujjani Dam,Solapur,1360,1539,167954,159047
11-04-2023,Jayakwadi Dam,Aurangabad,1960,1109,228513,167021
12-04-2023,Koyna Dam,Satara,2765,1238,266142,106504
12-04-2023,Bhatsa Dam,Thane,2357,1099,201414,112130
12-04-2023,Ujjani Dam,Solapur,2753,1281,283572,165843
12-04-2023,Jayakwadi Dam,Aurangabad,1761,1512,260378,167211
13-04-2023,Koyna Dam,Satara,1810,1851,298474,262960
13-04-2023,Bhatsa Dam,Thane,2355,2418,154069,113797
13-04-2023,Ujjani Dam,Solapur,1106,2278,205709,109288
13-04-2023,Jayakwadi Dam,Aurangabad,1547,1442,267605,234413
14-04-2023,Koyna Dam,Satara,1222,1185,151464,150206
14-04-2023,Bhatsa Dam,Thane,1046,1099,296105,128804
