District,Year,Population,Growth Rate (%)
Mumbai,2009,7031929,0.86
Aurangabad,2009,21801384,1.43
Thane,2009,12527528,1.96
Kolhapur,2009,18348718,1.44
Solapur,2009,17444757,3.03
Pune,2010,23162763,3.05
Nagpur,2010,13490488,2.65
Nashik,2010,22873510,0.61
Mumbai,2010,12817961,3.48
Aurangabad,2010,20794416,3.1
Thane,2010,18952694,0.65
Kolhapur,2010,17032760,0.94
Solapur,2010,5157491,2.95
Pune,2011,21615727,0.63
Nagpur,2011,12650952,0.96
Nashik,2011,28956314,3.25
Mumbai,2011,17023994,3.22
Aurangabad,2011,21956475,1.15
Thane,2011,10142167,1.27
Kolhapur,2011,7032764,0.96
Solapur,2011,22470460,3.39
Pune,2012,26299002,3.31
Nagpur,2012,18310789,1.62
Nashik,2012,6385217,2.7
Mumbai,2012,10862350,0.57
Aurangabad,2012,19320005,1.93
Thane,2012,26805042,0.9
Kolhapur,2012,5592300,1.58
Solapur,2012,11216068,1.28
Pune,2013,7809032,2.41
Nagpur,2013,13310303,2.8
Nashik,2013,15576002,3.1
Mumbai,2013,10194235,1.7
Aurangabad,2013,8140550,2.7
Thane,2013,23378784,1.5
Kolhapur,2013,10503845,1.56
Solapur,2013,11705567,1.08
Pune,2014,21809285,1.76
Nagpur,2014,16292131,1.29
Nashik,2014,18115725,1.99
Mumbai,2014,29221063,2.3
Aurangabad,2014,13428889,2.35
Thane,2014,13859134,1.79
Kolhapur,2014,29763459,1.18
Solapur,2014,20510474,2.98
Pune,2015,23364712,1.25
Nagpur,2015,9321504,0.55
Nashik,2015,7064172,1.13
Mumbai,2015,10680649,0.68
Aurangabad,2015,13298805,2.9
Thane,2015,10947722,2.43
Kolhapur,2015,21708615,2.24
Solapur,2015,23106047,2.35
Pune,2016,9598734,3.03
Nagpur,2016,11870953,1.72
Nashik,2016,5102971,2.15
Mumbai,2016,27787326,0.57
Aurangabad,2016,24380323,1.52
Thane,2016,22338368,2.66
Kolhapur,2016,23320911,2.81
Solapur,2016,15519094,1.65
Pune,2017,5124106,1.28
Nagpur,2017,21591594,2.33
Nashik,2017,19774688,2.69
Mumbai,2017,29913063,1.6
Aurangabad,2017,21036587,2.12
Thane,2017,9476082,2.77
Kolhapur,2017,15788913,2.85
Solapur,2017,27438345,1.95
Pune,2018,21694367,1.27
Nagpur,2018,15112390,0.84
Nashik,2018,10799155,1.19
Mumbai,2018,11965665,2.18
Aurangabad,2018,25305977,2.44
Thane,2018,23821673,2.1
Kolhapur,2018,5953947,2.75
Solapur,2018,26508321,3.22
Pune,2019,25955351,1.76
Nagpur,2019,16909719,3.45
Nashik,2019,21412501,1.77
Mumbai,2019,17944479,2.64
Aurangabad,2019,7155589,3.11
Thane,2019,21607958,0.9
Kolhapur,2019,29360787,3.09
Solapur,2019,14021112,1.87
Pune,2020,8933816,1.32
Nagpur,2020,5827530,2.41
Nashik,2020,20495841,2.94
Mumbai,2020,16816698,1.96
Aurangabad,2020,14217455,3.09
Thane,2020,25245352,1.83
Kolhapur,2020,26010065,0.74
Solapur,2020,29459675,1.54
Pune,2021,16537155,2.98
Nagpur,2021,15557089,2.68
Nashik,2021,28189993,0.73
Mumbai,2021,18059418,2.71
Aurangabad,2021,15815059,1.05
Thane,2021,24055653,0.53
Kolhapur,2021,24554191,3.46
Solapur,2021,8246627,0.87
Pune,2022,9396166,2.43
Nagpur,2022,23948099,2.18
Nashik,2022,15096753,3.11
Mumbai,2022,20417149,1.91
Aurangabad,2022,28019428,1.22
Thane,2022,13209981,3.25
Kolhapur,2022,28853934,2.96
Solapur,2022,18318110,1.98
Pune,2023,18573496,2.37
Nagpur,2023,5617952,2.36
Nashik,2023,26321660,2.2
Mumbai,2023,9747173,2.05
Aurangabad,2023,7151645,2.9
Thane,2023,15846139,1.87
Kolhapur,2023,19051679,3.2
Solapur,2023,19175588,3.45
