Date,District,Rainfall (mm)
20-01-2023,Aurangabad,198.38
20-01-2023,Thane,150.06
20-01-2023,Kolhapur,33.54
20-01-2023,Solapur,178.76
21-01-2023,Pune,33.4
21-01-2023,Nagpur,93.54
21-01-2023,Nashik,169.06
21-01-2023,Mumbai,113.79
21-01-2023,Aurangabad,98.17
21-01-2023,Thane,93.92
21-01-2023,Kolhapur,103.89
21-01-2023,Solapur,14.24
22-01-2023,Pune,75.75
22-01-2023,Nagpur,117.88
22-01-2023,Nashik,181.77
22-01-2023,Mumbai,80.05
22-01-2023,Aurangabad,49.74
22-01-2023,Thane,178.6
22-01-2023,Kolhapur,174.6
22-01-2023,Solapur,47.46
23-01-2023,Pune,144.46
23-01-2023,Nagpur,26.68
23-01-2023,Nashik,20.02
23-01-2023,Mumbai,55.04
23-01-2023,Aurangabad,43.85
23-01-2023,Thane,168.96
23-01-2023,Kolhapur,50.22
23-01-2023,Solapur,164.33
24-01-2023,Pune,168.94
24-01-2023,Nagpur,177.67
24-01-2023,Nashik,146.17
24-01-2023,Mumbai,58.74
24-01-2023,Aurangabad,114.98
24-01-2023,Thane,21.65
24-01-2023,Kolhapur,18.97
24-01-2023,Solapur,84.03
25-01-2023,Pune,82.64
25-01-2023,Nagpur,172.19
25-01-2023,Nashik,58.45
25-01-2023,Mumbai,49.34
25-01-2023,Aurangabad,82.76
25-01-2023,Thane,16.07
25-01-2023,Kolhapur,181.79
25-01-2023,Solapur,79.99
26-01-2023,Pune,103.34
26-01-2023,Nagpur,58.24
26-01-2023,Nashik,63.26
26-01-2023,Mumbai,80.17
26-01-2023,Aurangabad,170.93
26-01-2023,Thane,60.15
26-01-2023,Kolhapur,118.42
26-01-2023,Solapur,180.08
27-01-2023,Pune,91.11
27-01-2023,Nagpur,34.04
27-01-2023,Nashik,176.9
27-01-2023,Mumbai,58.41
27-01-2023,Aurangabad,67.72
27-01-2023,Thane,199.24
27-01-2023,Kolhapur,67.91
27-01-2023,Solapur,78.87
28-01-2023,Pune,170.07
28-01-2023,Nagpur,57.54
28-01-2023,Nashik,82.89
28-01-2023,Mumbai,75.29
28-01-2023,Aurangabad,119.48
28-01-2023,Thane,100.83
28-01-2023,Kolhapur,94.11
28-01-2023,Solapur,80.05
29-01-2023,Pune,116.84
29-01-2023,Nagpur,120.94
29-01-2023,Nashik,111.52
29-01-2023,Mumbai,21.34
29-01-2023,Aurangabad,103.35
29-01-2023,Thane,180.98
29-01-2023,Kolhapur,90.87
29-01-2023,Solapur,73.42
30-01-2023,Pune,193.79
30-01-2023,Nagpur,32.21
30-01-2023,Nashik,183.12
30-01-2023,Mumbai,147.76
30-01-2023,Aurangabad,181.17
30-01-2023,Thane,76.33
30-01-2023,Kolhapur,55.36
30-01-2023,Solapur,191.26
31-01-2023,Pune,88.22
31-01-2023,Nagpur,49.69
31-01-2023,Nashik,89.57
31-01-2023,Mumbai,158.54
31-01-2023,Aurangabad,192.15
31-01-2023,Thane,114.41
31-01-2023,Kolhapur,46.42
31-01-2023,Solapur,191.41
01-02-2023,Pune,144.48
01-02-2023,Nagpur,94.6
01-02-2023,Nashik,140.72
01-02-2023,Mumbai,194.93
01-02-2023,Aurangabad,21.52
01-02-2023,Thane,136.44
01-02-2023,Kolhapur,112.05
01-02-2023,Solapur,123.96
02-02-2023,Pune,114.31
02-02-2023,Nagpur,147.85
02-02-2023,Nashik,110.45
02-02-2023,Mumbai,54.79
02-02-2023,Aurangabad,14.41
02-02-2023,Thane,163.25
02-02-2023,Kolhapur,142.36
02-02-2023,Solapur,13.55
03-02-2023,Pune,128.28
03-02-2023,Nagpur,114.04
03-02-2023,Nashik,76.43
03-02-2023,Mumbai,170.56
03-02-2023,Aurangabad,88.82
03-02-2023,Thane,110.33
03-02-2023,Kolhapur,166.89
03-02-2023,Solapur,78.81
04-02-2023,Pune,91.52
04-02-2023,Nagpur,189.5
04-02-2023,Nashik,68.95
04-02-2023,Mumbai,154.66
04-02-2023,Aurangabad,196.96
04-02-2023,Thane,110.79
04-02-2023,Kolhapur,70.94
04-02-2023,Solapur,182.09
05-02-2023,Pune,193.36
05-02-2023,Nagpur,126.79
05-02-2023,Nashik,101.82
05-02-2023,Mumbai,163.29
05-02-2023,Aurangabad,181.9
05-02-2023,Thane,184.73
05-02-2023,Kolhapur,181.29
05-02-2023,Solapur,143.37
06-02-2023,Pune,88.94
06-02-2023,Nagpur,75.36
06-02-2023,Nashik,68.42
06-02-2023,Mumbai,131.23
06-02-2023,Aurangabad,163.27
06-02-2023,Thane,154.84
06-02-2023,Kolhapur,110.67
06-02-2023,Solapur,132.49
07-02-2023,Pune,179.78
07-02-2023,Nagpur,15.79
07-02-2023,Nashik,15.25
07-02-2023,Mumbai,127.98
07-02-2023,Aurangabad,173.34
07-02-2023,Thane,47.01
07-02-2023,Kolhapur,61.11
07-02-2023,Solapur,78.51
08-02-2023,Pune,179.51
08-02-2023,Nagpur,61.67
08-02-2023,Nashik,167.3
08-02-2023,Mumbai,195.55
08-02-2023,Aurangabad,93.36
08-02-2023,Thane,15.55
08-02-2023,Kolhapur,158.16
08-02-2023,Solapur,160.43
09-02-2023,Pune,95.86
09-02-2023,Nagpur,38.09
09-02-2023,Nashik,97.81
09-02-2023,Mumbai,146.64
09-02-2023,Aurangabad,170.56
09-02-2023,Thane,41.96
09-02-2023,Kolhapur,115.27
09-02-2023,Solapur,19.85
10-02-2023,Pune,56.74
10-02-2023,Nagpur,127.22
10-02-2023,Nashik,36.23
10-02-2023,Mumbai,46.53
10-02-2023,Aurangabad,114.83
10-02-2023,Thane,109.47
10-02-2023,Kolhapur,172.75
10-02-2023,Solapur,114.24
11-02-2023,Pune,27.76
11-02-2023,Nagpur,62.28
11-02-2023,Nashik,178.09
11-02-2023,Mumbai,151.0
11-02-2023,Aurangabad,141.33
11-02-2023,Thane,82.28
11-02-2023,Kolhapur,112.97
11-02-2023,Solapur,183.99
12-02-2023,Pune,75.24
12-02-2023,Nagpur,184.71
12-02-2023,Nashik,160.02
12-02-2023,Mumbai,112.76
12-02-2023,Aurangabad,103.68
12-02-2023,Thane,28.77
12-02-2023,Kolhapur,182.89
12-02-2023,Solapur,104.49
13-02-2023,Pune,197.84
13-02-2023,Nagpur,180.66
13-02-2023,Nashik,56.36
13-02-2023,Mumbai,180.88
13-02-2023,Aurangabad,50.08
13-02-2023,Thane,97.41
13-02-2023,Kolhapur,104.45
13-02-2023,Solapur,113.79
14-02-2023,Pune,121.06
14-02-2023,Nagpur,82.68
14-02-2023,Nashik,98.61
14-02-2023,Mumbai,60.11
14-02-2023,Aurangabad,32.15
14-02-2023,Thane,161.96
14-02-2023,Kolhapur,30.56
14-02-2023,Solapur,45.21
15-02-2023,Pune,197.86
15-02-2023,Nagpur,153.77
15-02-2023,Nashik,98.09
15-02-2023,Mumbai,86.4
15-02-2023,Aurangabad,148.02
15-02-2023,Thane,121.63
15-02-2023,Kolhapur,178.86
15-02-2023,Solapur,97.79
16-02-2023,Pune,136.93
16-02-2023,Nagpur,61.48
16-02-2023,Nashik,113.37
16-02-2023,Mumbai,195.23
16-02-2023,Aurangabad,10.95
16-02-2023,Thane,186.94
16-02-2023,Kolhapur,64.84
16-02-2023,Solapur,130.05
17-02-2023,Pune,30.12
17-02-2023,Nagpur,72.37
17-02-2023,Nashik,195.77
17-02-2023,Mumbai,83.51
17-02-2023,Aurangabad,117.4
17-02-2023,Thane,19.04
17-02-2023,Kolhapur,159.78
17-02-2023,Solapur,37.79
18-02-2023,Pune,13.86
18-02-2023,Nagpur,28.45
18-02-2023,Nashik,150.41
18-02-2023,Mumbai,189.76
18-02-2023,Aurangabad,91.68
18-02-2023,Thane,159.17
18-02-2023,Kolhapur,174.38
18-02-2023,Solapur,98.95
19-02-2023,Pune,93.93
19-02-2023,Nagpur,155.5
19-02-2023,Nashik,29.63
19-02-2023,Mumbai,90.56
19-02-2023,Aurangabad,45.94
19-02-2023,Thane,16.04
19-02-2023,Kolhapur,138.68
19-02-2023,Solapur,169.68
20-02-2023,Pune,128.51
20-02-2023,Nagpur,172.93
20-02-2023,Nashik,146.87
20-02-2023,Mumbai,94.61
20-02-2023,Aurangabad,160.83
20-02-2023,Thane,157.5
20-02-2023,Kolhapur,35.61
20-02-2023,Solapur,13.01
21-02-2023,Pune,116.94
21-02-2023,Nagpur,142.67
21-02-2023,Nashik,91.29
21-02-2023,Mumbai,151.54
21-02-2023,Aurangabad,159.97
21-02-2023,Thane,77.52
21-02-2023,Kolhapur,94.52
21-02-2023,Solapur,23.65
22-02-2023,Pune,141.92
22-02-2023,Nagpur,23.21
22-02-2023,Nashik,111.93
22-02-2023,Mumbai,93.07
22-02-2023,Aurangabad,147.73
22-02-2023,Thane,26.02
22-02-2023,Kolhapur,163.34
22-02-2023,Solapur,81.77
23-02-2023,Pune,16.46
23-02-2023,Nagpur,101.68
23-02-2023,Nashik,102.56
23-02-2023,Mumbai,108.03
23-02-2023,Aurangabad,40.3
23-02-2023,Thane,175.77
23-02-2023,Kolhapur,43.9
23-02-2023,Solapur,84.26
24-02-2023,Pune,143.97
24-02-2023,Nagpur,35.27
24-02-2023,Nashik,43.26
24-02-2023,Mumbai,111.45
24-02-2023,Aurangabad,72.11
24-02-2023,Thane,107.01
24-02-2023,Kolhapur,125.54
24-02-2023,Solapur,37.02
25-02-2023,Pune,133.87
25-02-2023,Nagpur,195.66
25-02-2023,Nashik,117.21
25-02-2023,Mumbai,193.62
25-02-2023,Aurangabad,154.44
25-02-2023,Thane,85.2
25-02-2023,Kolhapur,62.01
25-02-2023,Solapur,151.82
26-02-2023,Pune,184.24
26-02-2023,Nagpur,123.4
26-02-2023,Nashik,22.29
26-02-2023,Mumbai,55.56
26-02-2023,Aurangabad,82.58
26-02-2023,Thane,198.7
26-02-2023,Kolhapur,174.63
26-02-2023,Solapur,22.63
27-02-2023,Pune,17.03
27-02-2023,Nagpur,181.52
27-02-2023,Nashik,21.95
27-02-2023,Mumbai,107.69
27-02-2023,Aurangabad,80.29
27-02-2023,Thane,124.66
27-02-2023,Kolhapur,199.69
27-02-2023,Solapur,149.27
28-02-2023,Pune,65.99
28-02-2023,Nagpur,105.42
28-02-2023,Nashik,128.41
28-02-2023,Mumbai,164.68
28-02-2023,Aurangabad,199.79
28-02-2023,Thane,129.29
28-02-2023,Kolhapur,173.47
28-02-2023,Solapur,163.47
01-03-2023,Pune,68.72
01-03-2023,Nagpur,156.93
01-03-2023,Nashik,27.2
01-03-2023,Mumbai,117.74
01-03-2023,Aurangabad,59.48
01-03-2023,Thane,165.44
01-03-2023,Kolhapur,53.91
01-03-2023,Solapur,170.78
02-03-2023,Pune,177.61
02-03-2023,Nagpur,105.04
02-03-2023,Nashik,112.33
02-03-2023,Mumbai,16.24
02-03-2023,Aurangabad,13.99
02-03-2023,Thane,74.9
02-03-2023,Kolhapur,17.45
02-03-2023,Solapur,61.17
03-03-2023,Pune,169.29
03-03-2023,Nagpur,31.42
03-03-2023,Nashik,184.15
03-03-2023,Mumbai,100.07
03-03-2023,Aurangabad,51.26
03-03-2023,Thane,127.53
03-03-2023,Kolhapur,150.35
03-03-2023,Solapur,84.82
04-03-2023,Pune,45.8
04-03-2023,Nagpur,81.46
04-03-2023,Nashik,72.98
04-03-2023,Mumbai,23.0
04-03-2023,Aurangabad,80.12
04-03-2023,Thane,127.48
04-03-2023,Kolhapur,110.67
04-03-2023,Solapur,60.22
05-03-2023,Pune,193.35
05-03-2023,Nagpur,142.52
05-03-2023,Nashik,75.51
05-03-2023,Mumbai,159.53
05-03-2023,Aurangabad,30.35
05-03-2023,Thane,140.55
05-03-2023,Kolhapur,19.54
05-03-2023,Solapur,169.55
06-03-2023,Pune,61.1
06-03-2023,Nagpur,149.68
06-03-2023,Nashik,121.3
06-03-2023,Mumbai,16.76
06-03-2023,Aurangabad,151.92
06-03-2023,Thane,187.2
06-03-2023,Kolhapur,117.71
06-03-2023,Solapur,91.23
07-03-2023,Pune,105.93
07-03-2023,Nagpur,112.12
07-03-2023,Nashik,28.25
07-03-2023,Mumbai,124.03
07-03-2023,Aurangabad,81.0
07-03-2023,Thane,160.11
07-03-2023,Kolhapur,82.6
07-03-2023,Solapur,11.41
08-03-2023,Pune,192.27
08-03-2023,Nagpur,153.71
08-03-2023,Nashik,97.44
08-03-2023,Mumbai,54.91
08-03-2023,Aurangabad,105.46
08-03-2023,Thane,178.17
08-03-2023,Kolhapur,69.35
08-03-2023,Solapur,195.8
09-03-2023,Pune,85.4
09-03-2023,Nagpur,191.92
09-03-2023,Nashik,37.83
09-03-2023,Mumbai,108.01
09-03-2023,Aurangabad,158.79
09-03-2023,Thane,88.57
09-03-2023,Kolhapur,36.92
09-03-2023,Solapur,66.29
10-03-2023,Pune,126.33
10-03-2023,Nagpur,185.55
10-03-2023,Nashik,168.5
10-03-2023,Mumbai,166.98
10-03-2023,Aurangabad,142.68
10-03-2023,Thane,80.44
10-03-2023,Kolhapur,196.02
10-03-2023,Solapur,10.92
11-03-2023,Pune,195.06
11-03-2023,Nagpur,21.29
11-03-2023,Nashik,41.69
11-03-2023,Mumbai,165.36
11-03-2023,Aurangabad,50.87
11-03-2023,Thane,135.95
11-03-2023,Kolhapur,118.8
11-03-2023,Solapur,62.42
12-03-2023,Pune,23.38
12-03-2023,Nagpur,35.13
12-03-2023,Nashik,26.81
12-03-2023,Mumbai,85.73
12-03-2023,Aurangabad,80.48
12-03-2023,Thane,36.04
12-03-2023,Kolhapur,137.05
12-03-2023,Solapur,71.3
13-03-2023,Pune,107.07
13-03-2023,Nagpur,198.62
13-03-2023,Nashik,105.59
13-03-2023,Mumbai,18.94
13-03-2023,Aurangabad,19.11
13-03-2023,Thane,156.9
13-03-2023,Kolhapur,112.02
13-03-2023,Solapur,165.49
14-03-2023,Pune,147.12
14-03-2023,Nagpur,26.53
14-03-2023,Nashik,154.62
14-03-2023,Mumbai,50.37
14-03-2023,Aurangabad,164.31
14-03-2023,Thane,169.13
14-03-2023,Kolhapur,42.53
14-03-2023,Solapur,50.29
15-03-2023,Pune,63.66
15-03-2023,Nagpur,151.19
15-03-2023,Nashik,177.63
15-03-2023,Mumbai,105.52
15-03-2023,Aurangabad,179.4
15-03-2023,Thane,23.41
15-03-2023,Kolhapur,18.31
15-03-2023,Solapur,127.99
16-03-2023,Pune,111.05
16-03-2023,Nagpur,121.36
16-03-2023,Nashik,130.62
16-03-2023,Mumbai,129.49
16-03-2023,Aurangabad,188.46
16-03-2023,Thane,182.58
16-03-2023,Kolhapur,14.81
16-03-2023,Solapur,52.78
17-03-2023,Pune,121.51
17-03-2023,Nagpur,67.01
17-03-2023,Nashik,134.18
17-03-2023,Mumbai,13.96
17-03-2023,Aurangabad,150.02
17-03-2023,Thane,169.74
17-03-2023,Kolhapur,64.92
17-03-2023,Solapur,171.91
18-03-2023,Pune,87.13
18-03-2023,Nagpur,28.0
18-03-2023,Nashik,114.65
18-03-2023,Mumbai,109.9
18-03-2023,Aurangabad,192.67
18-03-2023,Thane,116.24
18-03-2023,Kolhapur,69.06
18-03-2023,Solapur,86.75
19-03-2023,Pune,176.56
19-03-2023,Nagpur,69.97
19-03-2023,Nashik,26.98
19-03-2023,Mumbai,146.42
19-03-2023,Aurangabad,114.81
19-03-2023,Thane,19.57
19-03-2023,Kolhapur,140.63
19-03-2023,Solapur,177.26
20-03-2023,Pune,172.62
20-03-2023,Nagpur,10.51
20-03-2023,Nashik,134.76
20-03-2023,Mumbai,25.05
20-03-2023,Aurangabad,54.48
20-03-2023,Thane,55.99
20-03-2023,Kolhapur,14.41
20-03-2023,Solapur,55.73
21-03-2023,Pune,73.12
21-03-2023,Nagpur,27.62
21-03-2023,Nashik,199.55
21-03-2023,Mumbai,12.1
21-03-2023,Aurangabad,153.95
21-03-2023,Thane,89.98
21-03-2023,Kolhapur,138.8
21-03-2023,Solapur,67.79
22-03-2023,Pune,104.99
22-03-2023,Nagpur,20.44
22-03-2023,Nashik,145.47
22-03-2023,Mumbai,189.1
22-03-2023,Aurangabad,133.21
22-03-2023,Thane,31.54
22-03-2023,Kolhapur,42.49
22-03-2023,Solapur,161.49
23-03-2023,Pune,176.4
23-03-2023,Nagpur,44.4
23-03-2023,Nashik,164.34
23-03-2023,Mumbai,11.16
23-03-2023,Aurangabad,141.28
23-03-2023,Thane,127.13
23-03-2023,Kolhapur,154.23
23-03-2023,Solapur,22.65
24-03-2023,Pune,182.23
24-03-2023,Nagpur,159.06
24-03-2023,Nashik,194.45
24-03-2023,Mumbai,129.85
24-03-2023,Aurangabad,81.26
24-03-2023,Thane,86.52
24-03-2023,Kolhapur,172.92
24-03-2023,Solapur,90.76
25-03-2023,Pune,130.03
25-03-2023,Nagpur,153.14
25-03-2023,Nashik,114.12
25-03-2023,Mumbai,193.66
25-03-2023,Aurangabad,135.79
25-03-2023,Thane,95.22
25-03-2023,Kolhapur,12.84
25-03-2023,Solapur,137.12
26-03-2023,Pune,163.1
26-03-2023,Nagpur,131.01
26-03-2023,Nashik,86.89
26-03-2023,Mumbai,11.52
26-03-2023,Aurangabad,113.6
26-03-2023,Thane,106.48
26-03-2023,Kolhapur,163.98
26-03-2023,Solapur,168.31
27-03-2023,Pune,182.55
27-03-2023,Nagpur,99.17
27-03-2023,Nashik,108.33
27-03-2023,Mumbai,26.33
27-03-2023,Aurangabad,65.15
27-03-2023,Thane,167.77
27-03-2023,Kolhapur,85.04
27-03-2023,Solapur,84.93
28-03-2023,Pune,155.27
28-03-2023,Nagpur,190.21
28-03-2023,Nashik,104.27
28-03-2023,Mumbai,106.41
28-03-2023,Aurangabad,118.13
28-03-2023,Thane,81.9
28-03-2023,Kolhapur,13.31
28-03-2023,Solapur,82.73
29-03-2023,Pune,180.2
29-03-2023,Nagpur,119.6
29-03-2023,Nashik,19.12
29-03-2023,Mumbai,10.06
29-03-2023,Aurangabad,178.2
29-03-2023,Thane,146.08
29-03-2023,Kolhapur,26.19
29-03-2023,Solapur,192.05
30-03-2023,Pune,160.27
30-03-2023,Nagpur,72.55
30-03-2023,Nashik,76.63
30-03-2023,Mumbai,116.52
30-03-2023,Aurangabad,28.04
30-03-2023,Thane,185.79
30-03-2023,Kolhapur,36.19
30-03-2023,Solapur,182.24
31-03-2023,Pune,128.55
31-03-2023,Nagpur,119.06
31-03-2023,Nashik,13.23
31-03-2023,Mumbai,29.95
31-03-2023,Aurangabad,110.19
31-03-2023,Thane,165.84
31-03-2023,Kolhapur,17.68
31-03-2023,Solapur,125.52
01-04-2023,Pune,159.93
01-04-2023,Nagpur,118.81
01-04-2023,Nashik,78.31
01-04-2023,Mumbai,193.11
01-04-2023,Aurangabad,137.01
01-04-2023,Thane,174.94
01-04-2023,Kolhapur,58.03
01-04-2023,Solapur,99.37
02-04-2023,Pune,72.72
02-04-2023,Nagpur,23.96
02-04-2023,Nashik,65.69
02-04-2023,Mumbai,70.76
02-04-2023,Aurangabad,66.93
02-04-2023,Thane,166.0
02-04-2023,Kolhapur,31.38
02-04-2023,Solapur,66.81
03-04-2023,Pune,151.63
03-04-2023,Nagpur,87.78
03-04-2023,Nashik,131.33
03-04-2023,Mumbai,112.18
03-04-2023,Aurangabad,158.75
03-04-2023,Thane,70.83
03-04-2023,Kolhapur,38.19
03-04-2023,Solapur,137.49
04-04-2023,Pune,21.53
04-04-2023,Nagpur,158.8
04-04-2023,Nashik,13.03
04-04-2023,Mumbai,187.73
04-04-2023,Aurangabad,151.09
04-04-2023,Thane,59.6
04-04-2023,Kolhapur,31.62
04-04-2023,Solapur,84.74
05-04-2023,Pune,124.83
05-04-2023,Nagpur,71.9
05-04-2023,Nashik,97.82
05-04-2023,Mumbai,192.91
05-04-2023,Aurangabad,164.99
05-04-2023,Thane,158.97
05-04-2023,Kolhapur,75.21
05-04-2023,Solapur,87.26
06-04-2023,Pune,33.4
06-04-2023,Nagpur,130.57
06-04-2023,Nashik,75.62
06-04-2023,Mumbai,47.89
06-04-2023,Aurangabad,57.61
06-04-2023,Thane,41.38
06-04-2023,Kolhapur,91.66
06-04-2023,Solapur,176.09
07-04-2023,Pune,66.98
07-04-2023,Nagpur,133.99
07-04-2023,Nashik,80.38
07-04-2023,Mumbai,140.19
07-04-2023,Aurangabad,76.38
07-04-2023,Thane,199.52
07-04-2023,Kolhapur,132.77
07-04-2023,Solapur,136.55
08-04-2023,Pune,83.58
08-04-2023,Nagpur,140.34
08-04-2023,Nashik,72.98
08-04-2023,Mumbai,166.96
08-04-2023,Aurangabad,186.18
08-04-2023,Thane,76.88
08-04-2023,Kolhapur,111.94
08-04-2023,Solapur,111.87
09-04-2023,Pune,85.59
09-04-2023,Nagpur,62.37
09-04-2023,Nashik,166.88
09-04-2023,Mumbai,81.01
09-04-2023,Aurangabad,153.54
09-04-2023,Thane,162.72
09-04-2023,Kolhapur,41.62
09-04-2023,Solapur,23.94
10-04-2023,Pune,181.52
10-04-2023,Nagpur,127.36
10-04-2023,Nashik,20.5
10-04-2023,Mumbai,29.96
10-04-2023,Aurangabad,58.64
10-04-2023,Thane,46.76
10-04-2023,Kolhapur,84.91
10-04-2023,Solapur,86.86
11-04-2023,Pune,185.3
11-04-2023,Nagpur,65.48
11-04-2023,Nashik,115.46
11-04-2023,Mumbai,12.78
11-04-2023,Aurangabad,74.6
11-04-2023,Thane,15.41
11-04-2023,Kolhapur,106.6
11-04-2023,Solapur,83.81
12-04-2023,Pune,96.08
12-04-2023,Nagpur,196.04
12-04-2023,Nashik,91.88
12-04-2023,Mumbai,73.92
12-04-2023,Aurangabad,84.16
12-04-2023,Thane,164.73
12-04-2023,Kolhapur,109.67
12-04-2023,Solapur,112.96
13-04-2023,Pune,188.94
13-04-2023,Nagpur,69.36
13-04-2023,Nashik,84.75
13-04-2023,Mumbai,28.45
13-04-2023,Aurangabad,107.64
13-04-2023,Thane,95.88
13-04-2023,Kolhapur,47.47
13-04-2023,Solapur,172.05
14-04-2023,Pune,40.64
14-04-2023,Nagpur,195.21
14-04-2023,Nashik,131.71
14-04-2023,Mumbai,90.66
14-04-2023,Aurangabad,187.27
14-04-2023,Thane,129.93
14-04-2023,Kolhapur,132.75
14-04-2023,Solapur,29.72
15-04-2023,Pune,183.93
15-04-2023,Nagpur,142.96
15-04-2023,Nashik,133.63
15-04-2023,Mumbai,77.23
15-04-2023,Aurangabad,73.93
15-04-2023,Thane,73.61
15-04-2023,Kolhapur,157.57
15-04-2023,Solapur,109.87
16-04-2023,Pune,48.92
16-04-2023,Nagpur,44.19
16-04-2023,Nashik,26.83
16-04-2023,Mumbai,31.22
16-04-2023,Aurangabad,137.13
16-04-2023,Thane,185.55
